Total population,White alone,Black alone,American Indian alone,Asian alone,Hawaiian alone,Hispanic,Other alone,Two or more,Census Tract,Poverty
4698,1307,521,27,1503,0,1062,0,278,6067004009,625
4107,589,578,8,1123,230,1288,0,291,6067005101,1846
5496,4079,78,67,526,0,528,0,218,6067005404,641
6699,4110,388,11,477,11,1242,0,460,6067007601,1274
5686,1455,533,0,214,100,3144,0,240,6067006400,2239
7248,1853,1076,61,993,183,2843,25,214,6067006600,2892
3254,1957,252,0,460,0,497,0,88,6067007417,426
3381,2579,150,0,147,0,338,0,167,6067008007,604
4472,3274,162,0,203,10,623,0,200,6067008009,838
4773,3234,264,36,65,0,868,11,295,6067008120,638
5164,3654,44,17,259,0,1032,0,158,6067008127,672
3879,2766,315,14,185,7,406,0,186,6067008132,467
7461,5701,155,0,260,3,931,0,411,6067008145,865
4743,3764,205,22,53,15,423,0,261,6067008203,865
4120,2656,41,0,352,10,858,0,203,6067007202,1204
4650,2986,100,0,384,0,1126,0,54,6067007208,648
4330,1822,387,21,789,5,1155,0,151,6067007414,1094
3384,2256,222,0,87,107,484,22,206,6067007415,633
4990,3771,166,37,188,0,543,0,285,6067007903,746
5376,3851,110,16,165,0,610,0,624,6067008006,463
3830,3060,1,0,274,0,442,9,44,6053011700,239
4762,1398,204,19,329,0,2599,0,213,6053013600,1054
4472,617,258,0,619,44,2886,0,48,6053013700,1187
6080,1163,625,0,608,466,2816,0,402,6053013800,850
3615,2189,0,0,64,0,1339,0,23,6053010102,134
2621,2217,42,15,40,0,202,0,105,6053012200,155
4644,2455,20,22,128,88,1738,92,101,6053010305,2668
12103,1446,0,0,146,0,10157,0,354,6053011102,2177
7326,740,115,0,30,0,6385,0,56,6053011202,107
1596,1183,41,0,80,5,225,0,62,6053013400,108
5099,1531,638,66,582,197,1851,0,234,6053013500,1546
4791,146,36,0,137,0,4448,4,20,6053010605,1114
5837,508,0,17,19,0,5238,0,55,6053011101,2122
2089,1670,38,19,105,0,231,0,26,6053012302,143
3527,2176,508,12,185,0,351,24,271,6053012700,301
2434,979,77,0,135,130,839,76,198,6053013900,517
4319,1579,313,35,710,79,1288,0,315,6053014302,663
2557,896,114,14,269,11,1125,17,111,6053014000,738
4087,919,46,0,164,11,2849,0,98,6053001700,1181
5743,54,9,1,0,0,5679,0,0,6053000800,2060
3432,1585,71,0,1116,0,436,0,224,6075015600,642
4299,3364,60,0,574,0,146,0,155,6075010200,314
4860,2209,0,0,2129,0,375,20,127,6075010800,753
3861,1433,16,0,1967,0,217,0,228,6075033100,264
5541,3174,0,0,1785,0,416,15,151,6075040200,381
7595,5606,10,8,780,35,786,29,341,6013340002,280
4499,3263,88,0,447,21,428,0,252,6013343001,437
5574,4109,31,15,637,12,516,0,254,6013346102,204
6206,4781,37,0,537,0,566,23,262,6013347000,247
3880,2683,106,0,815,0,85,0,191,6013353001,200
4480,1050,502,30,952,0,1520,80,346,6013356001,345
4540,299,485,16,644,0,2848,32,216,6013366001,711
4617,293,709,0,253,0,3185,63,114,6013375000,990
4782,3255,244,0,179,0,891,91,122,6013301000,534
3785,941,93,0,278,0,2037,0,436,6013307201,1182
