CARB ID,Project ID,Project Type,Date,Credits, Project Name,Project Operator,State
CALS0114-B,CAR589,Livestock,2013,5955,Fiscalini Farms Anaerobic Digester,"Fiscalini Properties, L.P.",CA
CAFR0123-A,CAR730,Forest,2007,1801449,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-B,CAR730,Forest,2008,270507,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-C,CAR730,Forest,2009,280060,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-D,CAR730,Forest,2010,289883,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-E,CAR730,Forest,2011,299983,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-F,CAR730,Forest,2012,313477,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-G,CAR730,Forest,2013,324298,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-H,CAR730,Forest,2014,339125,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CALS0124-A,CAR393,Livestock,2012,11196,Cottonwood Dairy Livestock Gas Capture Project,Grey K Trading Limited,CA
CALS0124-B,CAR393,Livestock,2013,16645,Cottonwood Dairy Livestock Gas Capture Project,Grey K Trading Limited,CA
CALS0126-A,CAR393,Livestock,2007,16834,Cottonwood Dairy Livestock Gas Capture Project,Grey K Trading Limited,CA
