Project_ID,Census_Tract_ID
G15-LCTI-01,6081608002
G15-LCTI-01,6081608023
G15-LCTI-01,6081608013
G15-LCTI-01,6081608502
G15-LCTI-01,6081608501
G18-HVIP-01,6071008901
G18-HVIP-01,6071008901
G18-HVIP-01,6071008901
G15-LCTI-01,6037111206
G15-LCTI-01,6037111205
G15-LCTI-01,6037111204
G15-LCTI-01,6037111202
G15-LCTI-01,6037113101
G15-LCTI-01,6037111400
G15-LCTI-01,6037111302
G15-LCTI-01,6037111301
G15-LCTI-01,6059088001
G15-LCTI-01,6037113211
G15-LCTI-01,6037113102
G15-LCTI-01,6037401102
G15-LCTI-01,6037236000
G15-LCTI-01,6059086601
G15-LCTI-01,6037481500
G15-LCTI-01,6097150800
G15-LCTI-01,6067009637
G15-LCTI-01,6073015406
G15-LCTI-01,6097153806
G15-LCTI-01,6065941100
G15-LCTI-01,6099003700
G15-LCTI-01,6013307204
G17-CVRP-01,6073013701
G17-CVRP-01,6059086407
G15-LCTI-01,6029003103
G15-LCTI-01,6037554001
G17-CVRP-01,6037577501
G17-CVRP-01,6013303202
G17-CVRP-01,6085510900
G15-LCTI-01,6085512017
G17-CVRP-01,6059110001
G17-CVRP-01,6059099906
G17-CVRP-01,6059110004
G17-CVRP-01,6059110003
G17-CVRP-01,6059099803
G17-CVRP-01,6059099802
G17-CVRP-01,6059099903
G17-CVRP-01,6059099902
G15-LCTI-01,6065030200
G17-CVRP-01,6059110006
G17-CVRP-01,6059110005
G15-LCTI-01,6071000501
G15-LCTI-01,6071000504
G15-LCTI-01,6085500800
G15-LCTI-01,6071000503
G15-LCTI-01,6073020027
G15-LCTI-01,6067009103
G15-LCTI-01,6073020029
G15-LCTI-01,6073020025
G16-CVRP-01,6085505304
G16-CVRP-01,6061020711
G16-CVRP-01,6085507203
G16-CVRP-01,6079012000
G15-LCTI-01,6037219500
G15-LCTI-01,6037123510
G16-CVRP-01,6059099227
G16-CVRP-01,6045010200
15-2-28,6039000508
15-2-28,6039000602
G16-CVRP-01,6037143100
G16-CVRP-01,6059011715
15-2-28,6039000900
15-2-28,6039001000
15-2-28,6047000203
15-2-28,6047000301
G15-LCTI-01,6059099701
G15-LCTI-01,6059099702
G15-LCTI-01,6059099602
G15-LCTI-01,6059099603
G15-LCTI-01,6059099604
G15-LCTI-01,6059099605
G15-LCTI-01,6059099512
G15-LCTI-01,6059099513
G15-LCTI-01,6059099514
G15-LCTI-01,6059099601
G16-CVRP-01,6013339002
G15-LCTI-01,6081605700
G15-LCTI-01,6085512030
G16-CVRP-01,6001430101
G15-LCTI-01,6059076000
G15-LCTI-01,6065043278
G15-LCTI-01,6073012800
G15-LCTI-01,6037135202
G15-LCTI-01,6037134201
G15-LCTI-01,6001428301
G15-LCTI-01,6013363000
G15-LCTI-01,6085507302
G18-CVRP-01,6059042313
G18-CVRP-01,6059042315
G18-CVRP-01,6059042317
G18-CVRP-01,6059042319
