Tract,Disadvantaged Communities,Low-Income Communities,County name
6009000503,No,No,Los Angeles
6009000504,No,Yes,Los Angeles
6011000100,No,No,Los Angeles
6011000200,No,No,Contra Costa
6011000300,No,No,Los Angeles
6011000400,No,No,San Bernardino
6011000500,No,Yes,Los Angeles
6013301000,No,Yes,Riverside 
6013302005,Yes,Yes,Stanislaus 
6013302006,No,No,Los Angeles
6013302007,No,No,Los Angeles
6013302008,No,No,Los Angeles
6013302009,No,No,San Joaquin
6013302010,No,No,Riverside 
6013303102,No,No,Sacramento 
6013303103,No,No,Los Angeles
6013303201,No,No,Los Angeles
6013303202,No,No,Stanislaus 
6013303203,No,No,Los Angeles
6013303204,No,Yes,Los Angeles
6013303205,No,No,Fresno 
6013304001,No,No,Los Angeles
6013304002,No,No,Los Angeles
6013304003,No,No,San Bernardino
6013304004,No,No,Los Angeles
6013304005,No,No,Los Angeles
6013305000,Yes,Yes,Los Angeles
6013306002,No,Yes,Los Angeles
6013306003,No,Yes,Los Angeles
6013306004,No,Yes,Los Angeles
6013307101,No,Yes,Los Angeles
6013307102,No,Yes,Los Angeles
6013307201,No,Yes,Los Angeles
6013307202,No,Yes,Los Angeles
6013307204,No,Yes,Fresno 
6013307205,No,Yes,Los Angeles
6013308001,No,Yes,Los Angeles
6013308002,No,No,Los Angeles
6013309000,Yes,No,Los Angeles
6013310000,Yes,Yes,Los Angeles
6013311000,Yes,Yes,San Joaquin
6013312000,Yes,Yes,Riverside 
6013313101,Yes,Yes,Los Angeles
6013313102,Yes,Yes,Los Angeles
6013313103,No,No,Los Angeles
6013313203,No,No,Los Angeles
6013313204,No,No,Los Angeles
6013313205,No,No,Los Angeles
6013313206,No,Yes,Los Angeles
6013314102,No,Yes,Merced 
6013314103,Yes,Yes,Los Angeles
6013314104,Yes,Yes,Los Angeles
6013314200,No,Yes,Riverside 
6013315000,No,No,Los Angeles
6013316000,No,Yes,Los Angeles
6013317000,No,No,Los Angeles
6013318000,No,No,Riverside 
6013319000,No,No,Los Angeles
6013320001,Yes,Yes,San Joaquin
6013320003,No,No,Los Angeles
6013320004,No,No,Los Angeles
6013321101,No,No,Orange 
6013321102,No,No,San Bernardino
6013321103,No,No,Los Angeles
6013321200,No,Yes,Fresno 
6013322000,No,No,San Bernardino
6013323000,No,No,Riverside 
6013324001,No,No,Fresno 
6013324002,No,No,Los Angeles
6013325000,No,No,Los Angeles
6013326000,No,No,San Bernardino
6013327000,No,Yes,San Joaquin
6013328000,No,Yes,Los Angeles
6013329000,No,No,San Joaquin
6013330000,No,No,Orange 
6013331000,No,No,Los Angeles
6013332000,No,No,Los Angeles
6013333101,No,No,Los Angeles
6013333102,No,No,Los Angeles
6013333200,No,No,Los Angeles
6013334001,No,No,San Joaquin
6013334004,No,No,San Bernardino
6013334006,No,No,Los Angeles
6013334200,No,No,Los Angeles
6013335000,No,No,Fresno 
6013336101,No,Yes,Los Angeles
6013336102,No,Yes,Los Angeles
6013336201,No,Yes,San Bernardino
6013336202,No,Yes,Alameda 
6013337100,No,No,Los Angeles
6013337200,No,Yes,Los Angeles
6013337300,No,No,Fresno 
6013338101,No,Yes,Los Angeles
6013338102,No,No,Los Angeles
6013338201,No,No,Fresno 
6013338203,No,No,San Joaquin
6013338204,No,No,Merced 
6013338301,No,No,Merced 
6013338302,No,No,Los Angeles
6013339001,No,No,Yolo 
6013339002,No,No,Los Angeles
6013340001,No,No,Los Angeles
6013340002,No,No,San Bernardino
6013341000,No,No,San Joaquin
6013343001,No,No,Fresno 
6013343002,No,No,Los Angeles
6013343003,No,No,Merced 
6013345101,No,No,Los Angeles
6013345102,No,No,Los Angeles
6013345103,No,No,Sacramento 
6013345105,No,No,Riverside 
6013345108,No,No,San Bernardino
6013345111,No,No,Los Angeles
6013345112,No,No,Los Angeles
6013345113,No,No,Los Angeles
6013345114,No,No,Los Angeles
6013345115,No,No,Los Angeles
6013345116,No,No,Los Angeles
6013345202,No,No,Los Angeles
6013345203,No,No,San Joaquin
6013345204,No,No,Los Angeles
6013346101,No,No,Merced 
6013346102,No,No,San Bernardino
6013346201,No,No,Fresno 
6013346203,No,No,Los Angeles
6013346204,No,No,Los Angeles
6013347000,No,No,Los Angeles
6013348000,No,No,Los Angeles
6013349000,No,No,Los Angeles
6013350000,No,No,Los Angeles
6013351101,No,Yes,Merced 
6013351102,No,Yes,Los Angeles
6013351103,No,No,San Bernardino
6013351200,No,No,Madera 
6013352101,No,No,Los Angeles
6013352102,No,No,Los Angeles
6013352201,No,No,San Joaquin
6013352202,No,No,San Bernardino
6013353001,No,No,Los Angeles
6013353002,No,No,Los Angeles
6013354001,No,No,Kern 
6013354002,No,No,Los Angeles
6013355107,No,No,Orange 
6013355108,No,No,Los Angeles
6013355109,No,No,Fresno 
6013355110,No,No,Los Angeles
6013355111,No,No,San Bernardino
6013355112,No,No,San Bernardino
6013355113,No,No,Los Angeles
6013355114,No,No,Los Angeles
6013355115,No,No,Los Angeles
6013355116,No,No,Los Angeles
6013355117,No,No,San Bernardino
6013355200,No,No,Los Angeles
6013355301,No,No,Los Angeles
6013355302,No,No,Los Angeles
6013355304,No,No,Stanislaus 
6013355306,No,No,Los Angeles
6013356001,No,No,Tulare 
6013356002,No,No,Los Angeles
6013357000,No,No,Los Angeles
6013358000,Yes,Yes,Riverside 
6013359102,No,Yes,Fresno 
6013359103,No,No,Los Angeles
6013359104,No,No,San Bernardino
6013359105,No,No,Los Angeles
6013359202,No,No,Los Angeles
6013359203,No,No,Los Angeles
6013359204,No,No,Los Angeles
6013360101,No,No,Contra Costa
6013360102,No,No,Los Angeles
6013360200,No,Yes,Los Angeles
6013361000,No,Yes,San Joaquin
6013362000,No,No,San Bernardino
6013363000,No,Yes,Los Angeles
6013364002,Yes,Yes,Los Angeles
6013365002,Yes,Yes,Los Angeles
6013365003,No,Yes,Los Angeles
6013366001,No,Yes,Los Angeles
6013366002,Yes,Yes,Los Angeles
6013367100,No,Yes,Los Angeles
6013367200,No,Yes,Stanislaus 
6013368001,Yes,Yes,Sacramento 
6013368002,Yes,Yes,Los Angeles
6013369001,No,Yes,Los Angeles
6013369002,No,Yes,Los Angeles
6013370000,No,No,Santa Clara
6013371000,No,Yes,Los Angeles
6013372000,No,Yes,Los Angeles
6013373000,No,Yes,Los Angeles
6013374000,No,Yes,Los Angeles
6013375000,Yes,Yes,Los Angeles
6013376000,Yes,Yes,Los Angeles
6013377000,Yes,Yes,Los Angeles
6013378000,No,No,Contra Costa
6013379000,Yes,Yes,Los Angeles
6013380000,Yes,No,Los Angeles
6013381000,Yes,Yes,Los Angeles
6013382000,Yes,Yes,Los Angeles
6013383000,No,No,Los Angeles
6013384000,No,No,Los Angeles
6013385100,No,No,Los Angeles
6013385200,No,No,Los Angeles
6013386000,No,Yes,Los Angeles
6013387000,No,No,Los Angeles
6013388000,No,No,San Bernardino
6013389100,No,No,Los Angeles
6013389200,No,Yes,Stanislaus 
6013390100,No,No,Los Angeles
6013390200,No,No,Merced 
6013391000,No,No,Stanislaus 
6013392000,No,No,Los Angeles
6013392200,Yes,No,Riverside 
6013392300,No,No,Los Angeles
6013990000,No,No,Los Angeles
6015000101,No,Yes,Los Angeles
6015000102,No,Yes,Los Angeles
6015000104,No,Yes,Los Angeles
6015000105,No,No,Los Angeles
6015000201,No,No,Los Angeles
6015000202,No,Yes,Los Angeles
6015000203,No,Yes,Riverside 
6015990000,No,No,Los Angeles
6017030200,No,Yes,Los Angeles
6017030301,No,Yes,Fresno 
6017030302,No,Yes,Los Angeles
6017030401,No,No,Kern 
6017030402,No,Yes,Los Angeles
6017030502,No,No,Los Angeles
6017030504,No,No,Los Angeles
6017030505,No,No,Los Angeles
6017030601,No,No,Los Angeles
6017030602,No,No,Los Angeles
6017030603,No,No,Los Angeles
6017030701,No,No,Imperial 
6017030704,No,No,San Bernardino
6017030706,No,No,Los Angeles
6017030709,No,No,Kern 
6017030710,No,No,Riverside 
6017030801,No,No,Los Angeles
6017030803,No,No,Los Angeles
6017030804,No,No,Los Angeles
6017030807,No,No,Los Angeles
6017030808,No,No,Los Angeles
6017030809,No,No,Los Angeles
6017030810,No,No,Los Angeles
6017030901,No,No,Stanislaus 
6017030902,No,No,Los Angeles
6017031000,No,Yes,Orange 
6017031100,No,Yes,Los Angeles
6017031200,No,No,Los Angeles
6017031301,No,No,Los Angeles
6017031302,No,Yes,Los Angeles
6017031402,No,No,Los Angeles
6017031404,No,No,Los Angeles
6017031405,No,No,Merced 
6017031406,No,No,Fresno 
6017031502,No,Yes,San Bernardino
6017031503,No,No,Los Angeles
6017031504,No,Yes,Los Angeles
6017031600,No,Yes,Kern 
6017031700,No,No,Los Angeles
6017031800,No,No,Los Angeles
6017031900,No,No,Los Angeles
6017032000,No,Yes,Los Angeles
6017990000,No,No,Tulare 
6019000100,Yes,Yes,Los Angeles
6019000200,Yes,Yes,Stanislaus 
6019000300,Yes,Yes,Tulare 
6019000400,Yes,Yes,Los Angeles
6019000501,Yes,Yes,Orange 
6019000502,Yes,Yes,Los Angeles
6019000600,Yes,Yes,Alameda 
6019000700,Yes,Yes,Los Angeles
6019000800,Yes,Yes,Orange 
6019000901,Yes,Yes,San Joaquin
6019000902,Yes,Yes,Los Angeles
6019001000,Yes,Yes,Sacramento 
6019001100,Yes,Yes,Los Angeles
6019001201,Yes,Yes,Orange 
6019001202,Yes,Yes,Los Angeles
6019001301,Yes,Yes,Los Angeles
