Total Population,Poverty,Census Tract
3307,474,6087121100
4594,924,6087121402
6829,2079,6087122500
3249,1055,6087101200
4761,584,6087120600
3549,626,6087121403
7286,1445,6087121700
4852,762,6087122001
7249,722,6087122400
8220,2966,6087110501
1936,484,6087100700
5360,560,6087120301
4181,222,6087120700
3332,252,6087122002
7230,1089,6087122003
3480,729,6087100300
6847,2671,6087100500
7765,2280,6087110400
3108,924,6087110700
4573,638,6087121800
6501,565,6087122201
2859,459,6087123100
1255,409,6087100400
7890,3747,6087101000
3324,1050,6037531502
6143,1815,6037531901
3459,1434,6037533107
4753,1358,6037533703
4655,2066,6037534201
7600,943,6037300800
6810,1977,6037310702
6198,449,6037311700
3847,478,6037401002
4593,856,6037402102
2278,160,6037403305
6328,701,6037403321
5059,751,6037119700
6836,2005,6037117530
3939,806,6037119310
5405,815,6037119400
2995,130,6037109200
3158,304,6037113212
2424,159,6037113231
4252,293,6037113322
6810,1393,6037113421
4005,330,6037117301
4686,1083,6037117404
4901,1219,6037121010
2527,208,6037121600
7112,2240,6037231600
2992,1187,6037224410
4778,215,6111005306
3999,476,6111005404
6581,986,6111007100
3537,161,6111007201
3925,213,6111008306
8429,453,6111008500
5808,529,6111000903
4887,927,6111001201
2180,688,6111001302
5125,798,6111001402
4626,988,6111001503
3549,283,6111005907
8650,1728,6111006100
2564,438,6111006302
2083,131,6111007300
5994,158,6111007402
6687,15,6111007507
5702,711,6111008302
5647,429,6111008402
5019,408,6111001101
3999,177,6111001401
5431,581,6111004200
1855,396,6111004600
4643,202,6111001800
560,27,6111000100
1636,373,6111000500
2460,280,6111000901
2031,351,6111000902
4333,260,6085511701
4219,611,6081607701
3482,309,6081607800
3654,107,6081608002
3985,109,6081608013
1783,71,6081609602
4847,360,6081610000
4900,1126,6081610500
5926,1689,6081610601
6628,546,6081611000
2855,129,6081611200
5396,217,6081611300
8658,2175,6081612100
5849,895,6081600600
2812,252,6081601601
3929,193,6081603200
2917,207,6081604102
3035,298,6081604900
8121,496,6081605000
3171,443,6081605100
3644,186,6081605200
7855,1622,6081606200
3591,83,6081606500
3703,295,6081606600
2570,55,6081606900
3778,566,6081607600
5705,513,6081601603
3271,487,6081602100
5692,277,6081603400
8072,1528,6081604101
4428,243,6081604200
5012,454,6081604400
2694,130,6081604700
5026,297,6081604800
5805,237,6081605400
5523,508,6081605900
5005,665,6081606100
3325,73,6081609400
4908,42,6081609500
4681,147,6081609700
6716,171,6081611100
5397,1096,6081611700
3981,516,6081613000
8477,809,6081600500
2693,215,6081601604
7102,1183,6081601400
4846,310,6081602800
4041,1000,6081610203
6997,523,6081601000
3561,555,6081610602
3095,451,6081607702
4343,1186,6109002100
3493,575,6109001100
3509,1069,6109001200
5709,827,6109003200
8385,906,6109002200
5150,868,6109004100
2020,240,6109005201
